States,RegisteredVehicles,State,Year
Alabama,5468301,AL,2016
Alaska,794614,AK,2016
Arizona,5786891,AZ,2016
Arkansas,2808138,AR,2016
California ,30221033,CA,2016
Colorado ,5116341,CO,2016
Connecticut,2841842,CT,2016
Delaware ,1003840,DE,2016
Dist. of Col. ,337100,DC,2016
Florida ,16600317,FL,2016
Georgia ,8239779,GA,2016
Hawaii,1231728,HI,2016
Idaho,1842245,ID,2016
Illinois ,10277182,IL,2016
Indiana,6140530,IN,2016
Iowa ,3676290,IA,2016
Kansas,2649736,KS,2016
Kentucky,4224788,KY,2016
Louisiana,3904962,LA,2016
Maine ,1107674,ME,2016
Maryland,4178873,MD,2016
Massachusetts,5069559,MA,2016
Michigan,8332895,MI,2016
Minnesota ,5358317,MN,2016
Mississippi ,2067222,MS,2016
Missouri,5684525,MO,2016
Montana ,1794732,MT,2016
Nebraska,1951766,NE,2016
Nevada ,2398659,NV,2016
New Hampshire,1322682,NH,2016
New Jersey ,5940997,NJ,2016
New Mexico,1823961,NM,2016
New York ,11122392,NY,2016
North Carolina,8270643,NC,2016
North Dakota,894954,ND,2016
Ohio,10686057,OH,2016
Oklahoma  ,3737405,OK,2016
Oregon ,3811706,OR,2016
Pennsylvania,10748822,PA,2016
Rhode Island ,876228,RI,2016
South Carolina,4324423,SC,2016
South Dakota ,1246359,SD,2016
Tennessee ,5709923,TN,2016
Texas ,21766166,TX,2016
Utah,2317282,UT,2016
Vermont,615950,VT,2016
Virginia,7301081,VA,2016
Washington ,7047689,WA,2016
West Virginia,1704825,WV,2016
Wisconsin ,5564429,WI,2016
Wyoming ,855230,WY,2016
Alabama,5056073,AL,2017
Alaska ,804505,AK,2017
Arizona,5964434,AZ,2017
Arkansas,2833697,AR,2017
California ,30795141,CA,2017
Colorado ,5259960,CO,2017
Connecticut ,2826350,CT,2017
Delaware ,970733,DE,2017
Dist. of Col. ,346016,DC,2017
Florida ,16959269,FL,2017
Georgia ,8442325,GA,2017
Hawaii,1259541,HI,2017
Idaho,1835903,ID,2017
Illinois ,10890760,IL,2017
Indiana ,6170034,IN,2017
Iowa ,3750077,IA,2017
Kansas,2717873,KS,2017
Kentucky,4293205,KY,2017
Louisiana,3906812,LA,2017
Maine ,1094388,ME,2017
Maryland,4357598,MD,2017
Massachusetts ,5065221,MA,2017
Michigan,8517065,MI,2017
Minnesota ,5682653,MN,2017
Mississippi ,2057476,MS,2017
Missouri,5568736,MO,2017
Montana ,1813854,MT,2017
Nebraska,1965105,NE,2017
